number,title,genre,plot,Running time,Box office,imdb
1,Snow White and the Seven Dwarfs,"Animation, Family, Fantasy, Musical, Romance","Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",83,418000000,7.6
2,Pinocchio,"Animation, Comedy, Family, Fantasy, Musical","A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",88,164000000,7.4
3,Fantasia,"Animation, Family, Fantasy, Music",A collection of animated interpretations of great works of Western classical music.,126,83300000,7.7
4,The Reluctant Dragon,"Animation, Comedy, Family",Humorist Robert Benchley learns about the animation process at Walt Disney Studios while trying to find the great man himself to pitch him the idea of making a cartoon about a shy dragon.,74,960000,6.9
5,Dumbo,"Adventure, Family, Fantasy","A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",64,1300000,7.2
6,Bambi,"Animation, Drama, Family",The story of a young deer growing up in the forest.,70,267400000,7.3
7,Saludos Amigos,"Animation, Short, Family, Fantasy, Music",Disney animators tour South America and present four animated shorts inspired by their trip.,42,1135000,6.1
8,The Three Caballeros,"Animation, Comedy, Family, Fantasy, Musical","Donald receives his birthday gifts, which include traditional gifts and information about Brazil (hosted by Zé Carioca) and Mexico (by Panchito, a Mexican Charro Rooster).",71,3355000,6.4
9,Fun and Fancy Free,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance","Jiminy Cricket hosts two Disney animated shorts: ""Bongo,"" about a circus bear escaping to the wild, and ""Mickey and the Beanstalk,"" a take on the famous fairy tale.",73,3165000,6.6
10,Melody Time,"Animation, Comedy, Family, Musical",An anthology of animated vignettes set to contemporary music.,75,2560000,6.3
11,The Adventures of Ichabod and Mr. Toad,"Animation, Comedy, Family, Fantasy, Horror","An animated adaptation of ""The Wind in the Willows"" followed by an adaptation of ""The Legend of Sleepy Hollow"".",68,1625000,7
12,Cinderella,"Animation, Family, Fantasy, Musical, Romance","When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq, and from her Fairy Godmother.",74,263600000,6.9
13,Treasure Island,"Adventure, Family",The treasure seeking adventures of young Jim Hawkins and pirate captain Long John Silver.,96,4100000,6.9
14,Alice in Wonderland,"Animation, Adventure, Family, Fantasy, Musical",Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.,75,5600000,6.4
15,The Story of Robin Hood and His Merrie Men,"Action, Adventure, Family","With King Richard away at the crusades, Prince John rules England with an iron fist and tasks the Sheriff of Nottingham with the collection of high taxes and the capture of outlaw Robin Hood.",84,2100000,6.7
16,Peter Pan,"Animation, Adventure, Family, Fantasy, Musical","Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan.",77,87400000,7.3
17,The Living Desert,"Family, Documentary",Documentary of the lives of flora and fauna in a desert in the US.,69,2600000,7.5
18,The Vanishing Prairie,"Documentary, Family",Story of the American Prairie as it was when vast herds of bison and elk grazed.,60,1750000,7.7
19,"20,000 Leagues Under the Sea","Adventure, Drama, Family, Fantasy, SciFi","A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",127,28200000,7.2
20,"Davy Crockett, King of the Wild Frontier","Adventure, Drama, Family, Western","American frontiersman Davy Crockett fights in the Creek Indian War, is elected to the U.S. Congress and fights for Texas at the Alamo.",92,2150000,7
21,Lady and the Tramp,"Adventure, Comedy, Drama, Family, Musical, Romance",The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.,76,187000000,7.3
22,The African Lion,"Family, Documentary",The Milotte's spend three years in Africa filming a lion.,75,2100000,7.2
23,Perri,"Adventure, Family, Fantasy, Romance","True-Life nature photography is used to tell the tale of a female tree squirrel named Perri who encounters many different forest creatures, both friendly and dangerous, as she grows up through the four seasons and finds a mate named Porro.",75,1750000,7.2
24,Old Yeller,"Adventure, Drama, Family, Western","A teenage boy grows to love a stray yellow dog while helping his mother and younger brother run their Texas homestead while their father is away on a cattle drive. First thought to be good-for-nothing mutt, Old Yeller is soon beloved by all.",83,6250000,7.3
25,Sleeping Beauty,"Animation, Family, Fantasy, Musical, Romance","After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies.",75,51600000,7.2
26,The Shaggy Dog,"Family, Comedy, Fantasy",A teenage boy is cursed with periodically turning into an sheepdog.,104,12300000,4.4
27,Pollyanna,"Comedy, Drama, Family",A young girl comes to an embittered town and confronts its attitude with her determination to see the best in life.,134,3750000,7.4
28,Jungle Cat,"Documentary, Family",This documentary chronicles the life of a female spotted jaguar in the South American jungle.,69,2300000,7.4
29,Swiss Family Robinson,Adventure,A family setting out for a new life across the sea is shipwrecked on a deserted island. The family members collaborate to create a home for themselves in the jungle environment.,126,40000000,7.2
30,One Hundred and One Dalmatians,"Animation, Adventure, Comedy, Family","When a litter of Dalmatian puppies are abducted by the minions of Cruella de Vil, the parents must find them before she uses them for a diabolical fashion statement.",79,303000000,7.3
31,The Absent-Minded Professor,"Comedy, Family, SciFi, Sport",A college professor invents an anti-gravity substance which a corrupt businessman wants for himself.,97,25400000,N/A
32,The Parent Trap (simply known as The Parent Trap: A Laugh Affair ),"Adventure, Comedy, Drama, Family, Romance","Identical twins Annie and Hallie, separated at birth and each raised by one of their biological parents, later discover each other for the first time at summer camp and make a plan to bring their wayward parents back together.",128,25100000,
33,Babes in Toyland,"Comedy, Family, Fantasy, Musical, Romance","All roads lead to magical, merry Toyland as Mary Contrary and Tom Piper prepare for their wedding. But villainous Barnaby wants Mary for himself, so he kidnaps Tom, setting off a series of comic chases, searches, and double-crosses.",105,4600000,6.3
34,The Incredible Journey,"Adventure, Drama, Family","The story of three pets, a cat and two dogs, who lose their owners when they are all on vacation. Can they find their way home?",80,4200000,7.1
35,The Sword in the Stone,"Animation, Adventure, Comedy, Family, Fantasy, Musical","A poor boy named Arthur learns the power of love, kindness, knowledge and bravery with the help of a wizard called Merlin in the path to become one of the most beloved kings in English history.",79,22200000,7.2
36,Mary Poppins,"Comedy, Family, Fantasy, Musical","In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",139,103100000,7.8
37,Emil and the Detectives,"Comedy, Family, Drama, Crime",Emil goes to Berlin to see his grandmother with a large amount of money and is offered sweets by a strange man that make him sleep. He wakes up at his stop with no money. It is up to him and a group of children to save the day.,92,1275000,6
38,Those Calloways,"Drama, Family","Story of Cam Calloway and his family, who live in a densely wooded area in New England. Cam dreams of building a sanctuary for the geese that fly over the area each year, and he tries ...",131,3500000,6.7
39,That Darn Cat!,"Comedy, Crime, Family, Thriller","After a kidnapped bank teller uses a neighbor's wandering cat to send an S.O.S., the F.B.I. assigns a cat-allergic Agent to the case.",116,28068222,6.8
40,The Ugly Dachshund,"Comedy, Family",The Garrisons live with a Great Dane who thinks he's a dainty dachshund. His identity crisis results in an uproarious series of household crises that reduce the Garrisons' house to shambles.,93,6200000,6.7
41,The Adventures of Bullwhip Griffin,"Action, Adventure, Comedy, Family, Romance, Western","A young man from Boston heads west to join the California gold rush with the hopes of restoring his family fortune, but his dedicated butler sets out to find him and bring him home.",108,1900000,6.5
42,The Jungle Book,"Animation, Adventure, Family, Musical",Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.,78,378000000,7.4
